Score,Do you know about Internet (Cyber) Crime?,Cyber Crime (Internet Crime) is ,Cyber Crime also leads to,What do you think about the most probable reason of cyber attack?,How many hours you use Smartphone in a day?,Your Age Group,Studying or Working or Not Working,Have you attended any seminar or webinar or workshop on Cyber Crime and Security Awareness?,Are you aware about Cyber Crime Safety Precautions tips?,Do you know where to file an Internet (Cyber) Crime Complaint?,Have you ever been victim of Cyber Crime?,Any type of Cyber Crime happened with you?,Did you loose any money?,Did you file complaint?,Why did you not file the complaint?,Where did you file the complaint?,Was your complaint resolved?,What is the status of Complaint,What mistakes made by the person as shown in the poster?,What is the Learning from Pencil Packaging Job Scam,What wrong Mohan did?,Does ever Bank call you for such detail ?,How will you define social media cloning?,What is the learning from this story,"You receive a friend request on Facebook on the name of your school  female friend and a beautiful smart profile picture, what will you do?","In the above video, what mistake the person did? ",What happens in Honey Trapped Video Call?,What safety precautions people should take to prevent honey trapped?,What mistake Harshita Did?,"You have decided to sell your old laptop on OLX. You add the item on OLX and soon one buyer shown an interest to buy your laptop and he also confirms the deal. He ask you to click on the link to receive the payment, what will you do? ","You are travelling on a holiday trip and suddenly you come to know that a fraudulent transaction happened in your account, what will you do? ","In the above video, what mistake he did","There is a power cut at home and suddenly you receive a call that says your power has been cut due to non payment of electricity bill and he ask to click on the link and pay the bill, what will you do?","You have received an audio message with some documents and voice notes that you have won the 35 Lakhs Rs of lottery from Kaun Banega Crorepati (KBC), what will you do?",How to take precautions when you receive such kind of lottery emails or disease treatment help or WhatsApp message?,"You receive a message on WhatsApp that a new startup company is offering you a new launched mobile phone at huge discount, Limited Stock, buy it before it stock out, what will you do?",What necessary precautions we should take while shopping online?,"Has this ""Cyber Training on Cyber Crime Awareness"" provided you a learning [Learning]","Has this ""Cyber Training on Cyber Crime Awareness"" provided you a learning [Usefulness ]","Has this ""Cyber Training on Cyber Crime Awareness"" provided you a learning [Presentation of Training Questions (Clear & Organized)]","Has this ""Cyber Training on Cyber Crime Awareness"" provided you a learning [Relevance of Information Provided in the Cyber Training]",Has this cyber training program helped you to enhance your knowledge on Cyber Crime Awareness and Safety Precautions?,How likely will you recommend this cyber training program in your family and friends circle? [Family],How likely will you recommend this cyber training program in your family and friends circle? [Friends],How likely will you recommend this cyber training program in your family and friends circle? [Others],Would you like to participate in the Workshop/Webinar/Seminar on Cyber Crime Awareness?,Would you like to participate in the Cyber Champion Ambassador Program of College/City/State/National Level to create awareness on Cyber Crime and Safety Precautions?,Any valuable suggestion or feedback to improve this training module on Cyber Crime Awareness,Gender,State,How did you come to know about this Cyber Training Program?,"You are getting multiple calls of a person who is abusing or harassing you over the phone, what will you do?","You come to know that someone posted your personal photos on social media and then you receive a call from unknown person (True Caller is displaying the name Criminal Lawyer Advocate), and he says that a complain has been registered against you and you have been asked to pay 5000 Rs to settle down the case, what will you do?",Have you enabled the two factor authentication on your Gmail or other email account?,"Have you enabled the two factor authentication for your Social Media (Facebook/Instagram/Twitter/Linkdein/
WhatsApp/SnapChat) account?",Which of the following option indicates the strong password,"If you are studying or working, write down the name of school or college or university or workplace",How many hours you use Laptop or Computer in a day ?,When do you spend your maximum time on Smartphone?,Your Internet data is always (24*7 even during sleep) ON  or SWITCH ON only when it is required ? ,"If Cyber Crime happened with you, when did it happen?","Have you ever attended ""Online Training on Cyber Crime Awareness"" organized by CollCom before?",Did you loose any money?.1
72,Yes,All of the above,Defamation of an individual on social media,All of the above,2 -4 Hours in a day,16-21 Years,UG,Yes,I have little knowledge,Yes,Yes,Not happened any crime,I did not loose any money,"Yes, I filed the complaint.",,Cyber Police Station,Yes,It was resolved and criminal was arrested but deducted money was not returned,All of the above,4. Both 2 and 3 options are correct,both b and c,Yes,Duplicate the person’s social media profile,C. Report the fraudulent account to social media and also file a cyber complaint,Both B and C,Both a and b,All of the above,Don’t accept friend requests from unknown while looking only smart picture,D. Only A and B,C. You will ask buyer to send Cash,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,C. Will first verify the authenticity of the website and startup company,All of the Above!,Excellent,Poor,Excellent,Excellent,Yes,Very Likely,Very Likely,Very Likely,Yes,Yes,Be aware,Male,Madhya Pradesh,College/School Notification,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",No,Yes,#Sohan@27!,भगत सिंह शासकीय स्नातकोत्तर महाविद्यालय महाविद्यालय जावरा जावरा ,I do not have/use Laptop or Desktop Computer,In Evening,I switch ON internet only when it is required,Not Applicable,Yes,
24,Yes,Stealing personal information,Physical or sexual abuse,All of the above,6-8 hours in a day,16-21 Years,UG,Yes,I don't have any knowledge,Yes,Yes,"Online Video Call Sexotortion Fraud, Photomorhpism Fraud",less than 5000,"Yes, I filed the complaint.",,Local Police Station,No,It was resolved and criminal was arrested but deducted money was not returned,He made the payment.,1. Pay the Job Processing fee when asked from Recruiter,a. He verified the caller,Yes,Duplicate the person’s social media profile,A. Always set the profile picture and friend list public,B. will call and verify whether the Girl is Authentic or Fraud,Both a and b,All of the above,Don’t recieve video call from unknown number,B. She did not verify the authenticity of buyer,A. You will click on link and then payment will be received.,D. A & B both,B. He has not verified the caller and made the payment,You will refuse and first confirm the bill from electricity department,"Wow! that's a good news, you will celebrate and distribute sweets to everyone",Asked for more further details and verify from the authentic source,Both A & B,All of the Above!,Poor,Poor,Poor,Poor,No,Not Likely,Not Likely,Somewhat Likely,Yes,No,Yes,Female,Madhya Pradesh,WhatsApp Group,Block the person,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",No,Yes,12345#,Yes,2 -4 Hours in a day,In the Night before Sleep,"I always keep my Internet ON (24*7 , Even During Sleeping Time)",Not Applicable,No,
32,Yes,"Software piracy, Fake bank call",Defamation of an individual on social media,Human Negligence,2 -4 Hours in a day,22-29 Years,UG,Yes,I have good knowledge,Yes,Yes,Online Romance Fraud,I did not loose any money,"No, I did not file the complaint because of lack of knowledge",No idea where  to file the complaint,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,Yes,Duplicate the person’s social media profile,Both B and C,"A. In the profile picture, Girl is very beautiful, will accept the friend request directly",b. He blindly trust on the person and paid money,A recording of the explicit video is used to extort money from the victim,Enable two factor authentications to login the social media account,B. She did not verify the authenticity of buyer,D. B & C both,B. You will immediately call 1930 cyber crime help line number to file complaint,A. He clicked on the link and made payment,You will share the Card Details and CVV to clear the dues,You will ignore the message because this is a fraud msg,Checked the source of the call or email and will verify the authenticity,C. Will first verify the authenticity of the website and startup company,"Do not easily trust Sales Offered on Social Media , must verify the source",Excellent,Very Good,Excellent,Poor,Maybe,Not Likely,Not Likely,Not Likely,No,No,No,Male,Madhya Pradesh,Youtube,Block the person,Will follow the instructions of Criminal Layer Advocate,Yes,No,08-01-1992,Not,8-10 hours in a day,In Evening,"I always keep my Internet ON (24*7 , Even During Sleeping Time)",Not Applicable,Yes,
84,Yes,All of the above,All of the above,All of the above,Not more than 2 hours in day,16-21 Years,PG,Yes,I don't have any knowledge,Yes,No,"Fraud Call, Lottery Fraud, Kaun Banega Crorepati (KBC) Fraud, Know Your Customer (KYC) Fraud, Bill Payment Fraud, OLX Fraud",I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will click on the link and make the payment,You will ignore the message because this is a fraud msg,Will Immediately report to Cyber Police or file online complaint on www.cybercrime.gov.in,Both A & B,All of the Above!,Excellent,Very Good,Excellent,Very Good,Yes,Somewhat Likely,Somewhat Likely,Very Likely,Yes,Yes,Ingnor msg,Male,Madhya Pradesh,College/School Notification,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",No,Yes,#Sohan@27!,Pg collage,4-6 Hours in a day,In the Night before Sleep,I do not use/have smart phone.,In the Afternoon at Home,Yes,
28,Yes,"Spreading the virus, Spreading rumours on social networking sites",Damage our reputation,Using Internet all the time,2 -4 Hours in a day,16-21 Years,Not Working (Home Maker),Yes,I have little knowledge,Yes,Yes,Kaun Banega Crorepati (KBC) Fraud,less than 5000,"No, I did not file the complaint because of lack of knowledge",No idea how to file the complaint,,,,He was doing exactly the same that was told by the accused.,3. Always apply for the Job only from the Authetic Website of the Company,b. Shared the card details,No,Creating fake account of existing user for abusing and marketing,B. Make your profile picture and others information visible to your friends only,"C. Will check the other details like biography, friends connected, active time on Facebook before accepting the friend request",b. He blindly trust on the person and paid money,A recording of the explicit video is used to extort money from the victim,Don’t accept friend requests from unknown while looking only smart picture,B. She did not verify the authenticity of buyer,D. B & C both,C. You will ignore the fraudulent transaction and focus on enjoying the trip,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,Asked for more further details and verify from the authentic source,C. Will first verify the authenticity of the website and startup company,"Nothing Comes Free, Act Wisely when there is a Huge Discounts Available, must Cross Verify all conditions",Very Good,Very Good,Very Good,Very Good,No,Somewhat Likely,Somewhat Likely,Very Likely,No,Yes,no,Female,Madhya Pradesh,Email,File a cyber complaint on www.cybercrime.gov.in,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,No,08-01-1992,Govt.bhagat singh collage jaora,Not more than 2 hours in day,In the Night before Sleep,I switch ON internet only when it is required,In the Afternoon at Home,Yes,
20,Yes,All of the above,Defamation of an individual on social media,Human Negligence,2 -4 Hours in a day,16-21 Years,Diploma/Vocational Training,Yes,I have little knowledge,No,No,"Online Romance Fraud, ",I did not loose any money,"No, because I was never the victim of cybercrime",,,,,He  clicked on the link directly without verifying the authenticity of the message.,1. Pay the Job Processing fee when asked from Recruiter,b. Shared the card details,Yes,Duplicate the person’s social media profile,C. Report the fraudulent account to social media and also file a cyber complaint,"C. Will check the other details like biography, friends connected, active time on Facebook before accepting the friend request",Both a and b,All of the above,Don’t recieve video call from unknown number,C. She did everything right,B. You will refuse to click on the link,D. A & B both,A. He clicked on the link and made payment,You will click on the link and make the payment,You will inform my all friends and celebrate,Checked the source of the call or email and will verify the authenticity,Both A & B,"Do not easily trust Sales Offered on Social Media , must verify the source",Excellent,Poor,Excellent,Poor,Maybe,Very Likely,Somewhat Likely,Not Likely,Yes,No,,Female,Madhya Pradesh,Google,File a cyber complaint on www.cybercrime.gov.in,Will ignore the call,Yes,Yes,Sohan1992,Vikram university,I do not have/use Laptop or Desktop Computer,In Evening,"I always keep my Internet ON (24*7 , Even During Sleeping Time)",In the Evening,Yes,
68,Yes,All of the above,All of the above,Human Negligence,6-8 hours in a day,16-21 Years,PG,No,I don't have any knowledge,No,No,"Fraud Call, Lottery Fraud, Kaun Banega Crorepati (KBC) Fraud, Know Your Customer (KYC) Fraud, Bill Payment Fraud, Online Gaming Fraud, Job Offer Fraud, Part Time Job/Work From Home Fraud, Social Media Account Cloned (Fake Account Created of Existing User), Photomorhpism Fraud, Fake Govt Scheme Fraud, Fake Loan Offer Fraud, Cyber Bullying, Abusing or Harrasment on Social Media, Trolling on Social Media, Cyber Stalking, Courier Lottery Fraud, Online Shopping Fraud, Online Customer Helpline Fruad",less than 5000,"No, because I was never the victim of cybercrime",,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,I do not know,Option A and B,Both B and C,Both B and C,He did everything right,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,D. He has done nothing wrong,You will simply follow the instructions of caller,You will ignore the message because this is a fraud msg,Will Immediately report to Cyber Police or file online complaint on www.cybercrime.gov.in,C. Will first verify the authenticity of the website and startup company,"Do not easily trust Sales Offered on Social Media , must verify the source",Poor,Poor,Poor,Poor,No,Not Likely,Not Likely,Not Likely,Yes,Yes,No,Male,Madhya Pradesh,Youtube,File a cyber complaint on www.cybercrime.gov.in,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,Sohan1992,No,I do not have/use Laptop or Desktop Computer,"Can't say, Smartphone usage  depends upon my requirements",I switch ON internet only when it is required,"Not Applicable, In the Morning just after Wake Up, In the Morning, In the Afternoon at Home, In the Evening, In the Night, During Eating, During Reading, During Watching Something, During Travelling, During Attending Party or any kind of Functions",No,
76,Yes,Stealing personal information,Defamation of an individual on social media,Human Negligence,Not more than 2 hours in day,16-21 Years,UG,No,I have little knowledge,No,No,Not happened any crime,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will click on the link and make the payment,You will call back to the person and share the banking details to claim the Lottery amount,All of the above,Both A & B,All of the Above!,Very Good,Excellent,Poor,Poor,Yes,Somewhat Likely,Very Likely,Not Likely,No,No,,Female,Madhya Pradesh,Google,File a cyber complaint on www.cybercrime.gov.in,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",No,No,#Sohan@27!,Study,I do not have/use Laptop or Desktop Computer,"Can't say, Smartphone usage  depends upon my requirements",I switch ON internet only when it is required,Not Applicable,No,
88,Yes,All of the above,All of the above,All of the above,Not more than 2 hours in day,16-21 Years,UG,No,I have little knowledge,Yes,No,Not happened any crime,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will click on the link and make the payment,You will ignore the message because this is a fraud msg,All of the above,Both A & B,All of the Above!,Excellent,Very Good,Very Good,Very Good,No,Very Likely,Very Likely,Not Likely,No,No,,Female,Madhya Pradesh,Google,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",No,No,#Sohan@27!,Study,I do not have/use Laptop or Desktop Computer,In Evening,I switch ON internet only when it is required,Not Applicable,Yes,
88,Yes,All of the above,Defamation of an individual on social media,All of the above,2 -4 Hours in a day,16-21 Years,UG,No,I have little knowledge,Yes,No,Not happened any crime,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,Will Immediately report to Cyber Police or file online complaint on www.cybercrime.gov.in,C. Will first verify the authenticity of the website and startup company,All of the Above!,Very Good,Very Good,Excellent,Very Good,Yes,Not Likely,Very Likely,Somewhat Likely,Yes,Maybe,,Female,Madhya Pradesh,College/School Notification,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",No,No,#Sohan@27!,J. N. S. Govt. p. G. College Shujalpur,2 -4 Hours in a day,In Afternoon,I switch ON internet only when it is required,In the Morning,Yes,
16,Yes,All of the above,Physical or sexual abuse,Playing Games online,2 -4 Hours in a day,22-29 Years,School (Under Class 10 Standard),Yes,I have good knowledge,Yes,No,"Lottery Fraud, OLX Fraud, Job Offer Fraud",5000-20000,"Yes, I filed the complaint.",,Dialed 100,No,It was resolved and criminal was not arrested and deducted money was returned,He was doing exactly the same that was told by the accused.,2. Reputed Company Never Ask for Job Processing Fee Payment,b. Shared the card details,No,Duplicate the person’s social media profile,C. Report the fraudulent account to social media and also file a cyber complaint,B. will call and verify whether the Girl is Authentic or Fraud,b. He blindly trusted the person and paid money,A recording of the explicit video is used to extort money from the victim,Don’t accept friend requests from unknown while looking only smart picture,C. She did everything right,C. You will ask buyer to send Cash,B. You will immediately call 1930 cyber crime help line number to file complaint,B. He has not verified the caller and made the payment,You will share the Card Details and CVV to clear the dues,You will ignore the message because this is a fraud msg,Asked for more further details and verify from the authentic source,B. Also encourage my friends and family to buy it,"Nothing Comes Free, Act Wisely when there is a Huge Discounts Available, must Cross Verify all conditions",Very Good,Excellent,Excellent,Excellent,No,Very Likely,Somewhat Likely,Very Likely,Yes,No,Good,Male,Madhya Pradesh,College/School Notification,Block the person,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",No,No,08-01-1992,Govt JNSPG college Shujalpur ,4-6 Hours in a day,"Can't say, Smartphone usage  depends upon my requirements",I switch ON internet only when it is required,"In the Evening, During Reading",Yes,
